date,venue,opponent,n_actions,net_momentum,first_half,second_half,goals_for,goals_against
250816,Home,WestHamUnited,124,21.5,16.5,5.0,3,0
250823,Away,Burnley,131,6.0,6.0,0.0,0,2
250830,Home,Brentford,147,50.0,24.0,26.0,2,1
250913,Away,CrystalPalace,158,38.0,38.0,0,0,0
250921,Home,AstonVilla,121,27.0,27.0,0,1,1
250927,Away,NottinghamForest,146,42.0,23.5,18.5,1,0
251004,Away,ManchesterUnited,156,-2.5,-2.5,0,0,2
251015,Away,Chelsea,168,24.5,7.0,17.5,2,0
251018,Home,Wolves,148,30.0,20.5,9.5,2,0
251103,Home,Everton,157,51.0,51.0,0.0,1,0
251108,Home,Arsenal,143,5.0,14.5,-9.5,2,0
251122,Home,Fulham,155,-3.0,0.0,-3.0,0,0
251129,Home,AFCBournemouth,146,50.0,27.0,23.0,3,0
251201,Home,ManchesterCity,145,23.5,27.5,-4.0,0,0
251203,Away,Liverpool,123,21.0,9.0,12.0,1,0
251206,Away,ManchesterCity,155,-8.0,-5.5,-2.5,0,0
251214,Home,NewcastleUnited,131,39.0,27.5,11.5,1,0
251220,Away,Brighton,150,18.5,21.0,-2.5,0,0
251228,Home,LeedsUnited,141,8.0,6.5,1.5,1,0
260104,Away,TottenhamHotspur,140,13.5,-4.5,18.0,1,0
260107,Away,Brentford,137,-7.0,-6.0,-1.0,0,0
260117,Home,CrystalPalace,141,39.0,9.5,29.5,2,0
260124,Away,WestHamUnited,164,11.5,11.0,0.5,1,0
260202,Home,Burnley,133,41.0,20.5,20.5,3,0
260207,Away,Arsenal,142,7.5,-1.5,9.0,0,0
260211,Home,Liverpool,143,7.0,-1.0,8.0,0,0
260222,Home,Fulham,141,3.0,-4.5,7.5,1,0
260228,Away,Bournemouth,160,25.0,4.5,20.5,1,0
260303,Away,LeedsUnited,177,49.0,34.5,14.5,0,0
260314,Home,Brighton,175,38.0,9.0,29.0,0,0
260322,Away,NewcastleUnited,161,41.5,15.5,26.0,2,0
